chords

Cm
Bb
Cm
Eb
Cm
Bb
Cm
Cm
Cm
Bb
Cm
Eb
Cm
Bb
Cm
Cm
Eb
F
Bb
Eb
Eb
F
G7
Bb
Cm
D7
F
Eb
Eb
D7
F
Eb
Bb
Cm
F
Bb
Eb
Cm
Cm
F7
Cm
Cm
Bb
Cm
Eb
Cm
Bb
Cm
Cm
Cm
Bb
Cm
Eb
Cm
Bb
Cm
Cm
Eb
F
Bb
Eb
Eb
F
G7
Bb
Cm
D7
F
Eb
Eb
D7
F
Eb
Bb
Cm
F
Bb
Eb
Cm
Cm
F7
Cm
F7
A7
G7
G7
F
A7
G7
G7
F
F7
Bb
Eb
Bb
A7
G
Cm
Cm
Bb
Cm
Eb
Cm
Bb
Cm
Cm
Cm
Bb
Cm
Eb
Cm
Bb
Cm
Cm
Eb
F
Bb
Eb
Eb
F
G7
Bb
Cm
D7
F
Eb
Eb
D7
F
Eb
Bb
Cm
F
Bb
Eb
Cm
Cm
F7
Cm
Cm
Bb
Cm
Eb
Cm
Bb
Cm
Cm
Cm
Bb
Cm
Eb
Cm
Bb
Cm
Cm
Eb
F
Bb
Eb
Eb
F
G7
Bb
Cm
D7
F
Eb
Eb
D7
F
Eb
Bb
Cm
F
Bb
Eb
Cm
Cm
F7
Cm
F7
A7
G7
G7
F
A7
G7
G7
F
F7
Bb
Eb
Bb
A7
G
Cm
Cm
Bb
Cm
Eb
Cm
Bb
Cm
Cm
Cm
Bb
Cm
Eb
Cm
Bb
Cm
Cm
Eb
F
Bb
Eb
Eb
F
G7
Bb
Cm
D7
F
Eb
Eb
D7
F
Eb
Bb
Cm
F
Bb
Eb
Cm
Cm
F7
Cm
Cm
Bb
Cm
Eb
Cm
Bb
Cm
Cm
Cm
Bb
Cm
Eb
Cm
Bb
Cm
Cm
Eb
F
Bb
Eb
Eb
F
G7
Bb
Cm
D7
F
Eb
Eb
D7
F
Eb
Bb
Cm
F
Bb
Eb
Cm
Cm
F7
Cm
F7
A7
G7
G7
F
A7
G7
G7
F
F7
Bb
Eb
Bb
A7
G
Cm
D
G7
D7
G7
F
F7
Cm
F
Cm
F
G7
F
Cm
