chords
Cm
Cm
A7
A7
Cm
Cm
A7
A7
Cm
A7
Cm
A7
Cm
Cm
A7
A7
Cm
Cm
G7
D7
G7
D7
Cm
Ab7
C#d
Cm
Cm
Gm
Bb
Cm
Gm
Cm
Eb7
F7
Cm
Cm
Gm
Cm
Cm
Gm
Abd
F7
G7
C
F7
Bb7
Ebd
Ebd
Abd
F7
G7
C
F7
Bb7
Ebd
Ebd
Abd
F7
G7
C
F7
Bb7
Ebd
Ebd
Cm
Ab7
C#d
Cm
Cm
Gm
Bb
Cm
Gm
Cm
Eb7
F7
Cm
Cm
Gm
Cm
Cm
Gm
Abd
F7
G7
C
F7
Bb7
Ebd
Ebd
Abd
F7
G7
C
F7
Bb7
Ebd
Ebd
Abd
F7
G7
C
F7
Bb7
Ebd
Ebd
