chords
Cm
Cm
Fm
Cm
G
G
Cm
Cm
Cm
Cm
Fm
Cm
G
G
Cm
Cm
Fm
Fm
Cm
Cm
Fm
Fm
Cm
Cm
D7
G
Cm
Cm
G7
G7
Cm
Cm
Cm
Cm
Fm
Cm
G
G
Cm
Cm
Cm
Cm
Fm
Cm
G
G
Cm
Cm
Fm
Fm
Cm
Cm
Fm
Fm
Cm
Cm
Ddim
G
Cm
Cm
G7
G7
Cm
Cm
Bb
Bb
Eb
Eb
Bb
Bb
Eb
Eb
Fm
Fm
Cm
Cm
G
G
Cm
Cm
Bb
Bb
Eb
Eb
Bb
Bb
Eb
Eb
Fm
Fm
Cm
Cm
G
G
Cm
Cm
Ddim
Ab7
Fm
G
Cm
Ddim
Ab7
Fm
G
Cm
Ab7
G
Cm
Ab7
Fm
Ab7
C#d
Cm
Ab7
Fm
Ab7
C#d
Cm
Cm
Fm
Ddim
G
Cm
Fm
Ddim
G
Cm
Fm
Ddim
G
Ab7
Fm
G
G
Cm
Fm
Ddim
G
Ab7
Fm
G
G
Cm
Fm
Ddim
G
Ab7
Fm
G
G
